max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts, R_reward_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   256998   257106   257828   265476   265676   265902   266020   266267   266377   266530   266710   266976   267143   911329   911433   911582   911684   915696  1086768  1086872  1086981  1087087  1087193  1087305  1087417  1087524  1087682  1087791  1087934  1088037  1088166  1088285  1088401  1088528  1088667  1088796  1088931  1089071  1089580  1089694  1089826  1090134  1090301  1090438  1090818  1101002  1101106  1101281  1101387  1101502  1101632  1101822  1101946  1102069  1102194  1102318  1102445  1102586  1103513  1103723  1103874  1104023, 1, 264893  1086467  1100793, 267275  1090481  1104116, 271444  1098897, 272876  1099092, 274576   275463   275652   287557  1080468  1094827, 275447   275601   275926   287693  1081788  1095187, 1090489, 1090497, 1090505, 1098906, 1098916, 1099067  1099076, 1099102, L, 1100814, 1100824, 1104129, 0, 0, 0, 0, 0, 1104206, 1104377, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1104382, , 1119649, , 1117495, 1117692, 1113404, 1113761, 1105444, 1105445, 1105446, 1117496, 1117499, 1117650  1117652, 1117694, L, 1119654, , , 1, 0, 0, 0, 1, 1119685, 1119689, L2:R0, 50.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1119679, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1119894  1120000  1120202, , , 1120159, 1143284, 1143901, 1132195  1145696, 1132363  1151168, 1120187, 1120188, 1120190, 1143286, 1143288, 1143439  1143441, 1143903, R, 1145701, , 1151171, 0, 0, 0, 0, 0, 1151194, 1151198, L2:R1, 66.67, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 1145704
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1155898  1156011  1156114  1156219  1156324  1156461  1156563  1156669  1156788  1156905  1157031  1157157  1157298  1157437  1158004  1158132  1158368  1158484  1158779, , 1155719, 1158859, 1152655  1153951, 1152819  1154056, , , 1151711, 1151712, 1151713, 1152656, 1152658, 1152809  1152811, 1152820, L, 1155723, 1155726, 1158864, 0, 0, 0, 0, 0, 1158897, 1158903, L3:R1, 75.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1158983, , 1166103, , 1164284, 1164484, , , 1159496, 1159497, 1159498, 1164285, 1164288, 1164439  1164440, 1164486, L, 1166107, , , 1, 0, 0, 0, 1, 1166135, 1166139, L4:R1, 60.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1166129, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1166309  1166509  1175199  1175302  1175403  1175522  1175628  1175735  1175848  1175963  1176076  1176195  1176318  1176449  1176580  1176718  1176875  1178071  1178199  1178340  1178493  1178646  1178801  1178934, , 1174991, 1166513  1179073, 1172754, 1173005, 1170819, 1171178, 1166670, 1166671, 1166672, 1172755, 1172758, 1172909  1172911, 1173007, L, 1174996, 1175000, 1179078, 0, 0, 0, 0, 0, 1179115, 1179122, L5:R1, 66.67, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1179213  1184534  1184636  1184747  1184849  1184969  1185081  1185242  1185360  1185483  1185607  1185738  1185874  1186009  1187093  1187203  1187330  1187473  1187627, , 1184354, 1187702, 1181415  1181875, 1181841  1182417, , , 1179735, 1179736, 1179737, 1181416, 1181418, 1181569  1181570, 1181843, L, 1184359, 1184362, 1187707, 0, 0, 0, 0, 0, 1187740, 1187746, L6:R1, 71.43, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1201985  1202100  1208724  1208826  1208967  1209101  1209208  1209378  1209494  1209610  1209731  1209849  1209971  1210104  1210241  1210380  1210520  1211888  1212019  1212175  1212342  1212500, , 1201805  1208536, 1202064  1212495, 1206449, 1206614, 1190916, 1191478, 1188421, 1188422, 1188423, 1206451, 1206454, 1206604  1206606, 1206616, L, 1208541, 1208545, 1212507, 0, 0, 0, 0, 0, 1212542, 1212550, L7:R1, 75.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 1221087  1222469, 1221386  1222725, 1219406  1224244, 1219831, 1213163, 1213163, 1213164, 1221088, 1221091, 1221241  1221243, 1221388, R, 1224249, , , 1, 0, 0, 0, 1, 1224282, 1224287, L7:R2, 66.67, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1224275, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1231089  1231198  1231306  1231410  1231524  1231640  1231745  1231879  1231993  1232111  1232227  1232348  1232474  1232612  1232751  1233247  1233370  1233497  1233636  1233793  1233940  1234153  1234614, , 1230912, 1234692, 1229122, 1229348, , 1224688, 1224814, 1224815, 1224816, 1229123, 1229125, 1229276  1229277, 1229350, L, 1230916, 1230919, 1234697, 0, 0, 0, 0, 0, 1234731, 1234738, L8:R2, 70.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1234822, , 1246536, , 1244899, 1245068, , , 1235322, 1235322, 1235323, 1244900, 1244902, 1245053  1245054, 1245070, L, 1246540, , , 1, 0, 0, 0, 1, 1246568, 1246572, L8:R2, 60.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1246562, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1246741  1246866  1247042  1248215, , 1248088, 1247149  1248217, 1249598  1249796, 1249763  1249903, 1251052, , 1247150, 1247151, 1247152, 1249600, 1249603, 1249753  1249755, 1249766, R, 1251058, , , 1, 0, 0, 0, 1, 1251097, 1251102, L7:R3, 60.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1251090, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 1252290  1252808  1253394  1254024, 1252453  1253043  1253593  1254276, 1255583, 1251450  1271958, 1251704, 1251705, 1251706, 1252291, 1252293, 1252444  1252445, 1252455, R, 1255589, , 1271961, 0, 0, 0, 0, 0, 1271987, 1271991, L7:R3, 60.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 1255593
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1278405  1278768  1278875, , 1278542, 1278942, 1280781  1280976  1281428, 1280951  1281092  1281846, 1272235  1275177  1283182, 1272948  1275688, 1272948, 1272950, 1272951, 1280783, 1280786, 1280937  1280941, 1280954, R, 1283190, , , 1, 0, 0, 0, 1, 1283235, 1283241, L6:R4, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 1283227, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 1286317, , 1284493, 1284651, , 1283540, 1283852, 1283853, 1283854, 1284494, 1284496, 1284647  1284648, 1284653, L, 1286321, , , 1, 0, 0, 0, 1, 1286349, 1286353, L6:R4, 50.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1286343, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1286487  1286626  1294515, , 1294678, 1286669, 1290660  1291028  1291367  1292088  1292323, 1290933  1291162  1291590  1292308  1293030, , , 1286957, 1286958, 1286959, 1290661, 1290664, 1290814  1290816, 1290935, L, 1294686, , , 1, 0, 0, 0, 1, 1294730, 1294736, L6:R4, 40.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1294723, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1294897  1295035, , , 1295050, 1296954  1297799, 1297149  1298060, 1299277, 1304738, 1295457, 1295458, 1295459, 1296955, 1296958, 1297108  1297111, 1297152, R, 1299282, , 1304741, 0, 0, 0, 0, 0, 1304763, 1304768, L5:R5, 40.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 1299286
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1307679  1307834  1308443  1308672  1308810  1309021  1309729  1309907  1310026  1310185  1310393  1310514  1311326, , 1307502  1308337  1308463, 1307860  1308349  1311270, 1323432  1323913  1324940, 1323724  1324152  1325102, 1320040  1322529  1326228, 1320569  1322654  1330966, 1305613, 1305614, 1305614, 1323437, 1323442, 1323593  1323597, 1323729, R, 1326239, , 1330972, 0, 0, 0, 0, 0, 1331013, 1331020, L4:R6, 40.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 1326245
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1334059  1334163  1378731  1378832  1378977  1379085  1379190  1379298  1379441  1379705  1379821  1379943  1380063  1380184  1380304  1380424  1380568  1381532  1381657  1381789  1381949  1382272  1382434  1382539  1382731  1382896, , 1333846  1378555, 1334330  1382989, 1331709  1376788, 1331905  1376983, 1348665, 1348950, 1331905, 1331907, 1331908, 1376790, 1376793, 1376944  1376947, 1376986, L, 1378562, 1378566, 1382995, 0, 0, 0, 0, 0, 1383037, 1383045, L5:R5, 50.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1388134  1388236  1388342  1388444  1388554  1388688  1388832  1388947  1389064  1389181  1389306  1389428  1389553  1389686  1389813  1389971  1390092  1391005  1391144  1391281  1391444  1391584  1391706  1391840, , 1387948, 1391928, 1385207  1386489, 1385370  1386591, , , 1383583, 1383584, 1383585, 1385208, 1385210, 1385361  1385362, 1385372, L, 1387953, 1387955, 1391933, 0, 0, 0, 0, 0, 1391969, 1391976, L5:R5, 50.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1392065, , 1396287, , 1393480  1393982  1394515, 1393710  1394259  1394813, , , 1392793, 1392793, 1392794, 1393481, 1393483, 1393634  1393635, 1393712, L, 1396292, , , 1, 0, 0, 0, 1, 1396327, 1396332, L5:R5, 50.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1396321, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1396484  1396614  1396771  1418403  1418517  1439881  1444105  1444208  1444314  1444422  1444549  1444657  1444817  1444923  1445035  1445145  1445286  1445403  1445524  1445641, , 1418226  1439694  1443924, 1396762  1418492  1439890  1445683, 1442531, 1442700, 1412857, 1413738, 1396833, 1396834, 1396835, 1442534, 1442537, 1442688  1442691, 1442703, L, 1443932, 1443937, 1445689, 0, 0, 0, 0, 0, 1445727, 1445734, L6:R4, 60.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1445873  1446001  1446127  1446261  1446713  1446835  1446963  1447129  1447306  1447436  1447565, , 1445833, 1447528, 1449098, 1449311, 1450738, 1455888, 1447530, 1447532, 1447534, 1449100, 1449104, 1449255  1449259, 1449314, R, 1450745, , 1455892, 0, 0, 0, 0, 0, 1455919, 1455924, L6:R4, 60.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 1450749
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 1459410, , 1456811  1457176  1457724, 1457071  1457586  1457844, , , 1456746, 1456746, 1456747, 1456812, 1456814, 1456965  1456966, 1457073, L, 1459416, , , 1, 0, 0, 0, 1, 1459449, 1459453, L7:R3, 60.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 1459442, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1459618  1459736  1459847, , , 1459840, 1464442, 1464683, 1461750  1463624  1465975, 1461913  1463740  1494962, 1460333, 1460334, 1460335, 1464444, 1464448, 1464599  1464601, 1464686, R, 1465981, , 1494965, 0, 0, 0, 0, 0, 1494989, 1494994, L6:R4, 70.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 1465985
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1590085  1590298  1590427  1594137  1594240  1594372  1594480  1594586  1594697  1594812  1594945  1595056  1595158  1595285  1595406  1595526  1595644  1595772  1595905  1596056  1596686  1596829  1596962  1597112  1597231  1597334  1597441  1597604  1597765  1598042  1598169, , 1589901  1593963, 1590450  1598157, 1592159, 1592344, 1495061  1501325  1506411  1506532  1513533  1514411  1553725  1555591  1556173  1556224  1564649  1574392  1574433  1586109  1588074, 1501294  1506376  1506504  1513506  1514368  1553373  1553864  1556154  1556194  1564595  1572938  1574422  1585481  1586195  1588286, 1501294, 1501296, 1501297, 1592165, 1592173, 1592324  1592331, 1592351, L, 1593978, 1593987, 1598180, 0, 0, 0, 0, 0, 1598251, 1598263, L6:R4, 80.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
